time,dz
14738,-0.00161661
14743,-0.00158685
14747,-0.001563
14751,-0.00153911
14756,-0.00150919
14760,-0.00148521
14764,-0.00146119
14768,-0.00143714
14773,-0.00140702
14777,-0.00138288
14781,-0.00135871
14785,-0.00133451
14790,-0.00130421
14794,-0.00127993
14798,-0.00125562
14802,-0.00123127
14807,-0.0012008
14811,-0.00117639
14815,-0.00115195
14820,-0.00112135
14824,-0.00109685
14829,-0.00106618
14833,-0.00104161
14838,-0.00101086
14842,-0.000986234
14847,-0.000955416
14852,-0.00092456
14856,-0.000899849
14861,-0.000868928
14865,-0.000844167
14870,-0.000813186
14874,-0.000788378
14879,-0.000757339
14883,-0.000732487
14888,-0.000701396
14892,-0.000676503
14897,-0.000645363
14901,-0.000620432
14906,-0.000589247
14910,-0.000564282
14915,-0.000533056
14920,-0.000501809
14924,-0.000476796
14929,-0.000445515
14933,-0.000420476
14938,-0.000389163
14942,-0.000364102
14947,-0.000332763
14951,-0.000307682
14956,-0.000276319
14960,-0.000251222
14964,-0.000226118
14969,-0.000194729
14973,-0.000169613
14977,-0.000144493
14982,-0.000113088
14986,-8.79601e-05
14990,-6.28302e-05
14994,-3.76988e-05
14999,-6.28318e-06
15003,1.88495e-05
15008,5.02646e-05
15012,7.53954e-05
15017,0.000106806
15021,0.000131932
15026,0.000163334
15031,0.000194729
15035,0.000219841
15040,0.000251222
15044,0.000276319
15049,0.000307682
15054,0.000339032
15058,0.000364102
15063,0.000395427
15067,0.000420476
15072,0.000451772
15076,0.000476796
15081,0.00050806
15086,0.000539303
15090,0.000564282
15095,0.000595486
15099,0.000620432
15104,0.000651593
15109,0.000682728
15113,0.000707616
15118,0.000738702
15122,0.000763549
15127,0.000794581
15131,0.000819385
15136,0.00085036
15140,0.000875115
15145,0.000906029
15149,0.000930734
15154,0.000961582
15158,0.000986234
15162,0.00101086
15167,0.00104161
15171,0.00106618
15175,0.00109072
15179,0.00111523
15184,0.00114583
15188,0.00117028
15192,0.0011947
15196,0.00121909
15201,0.00124953
15205,0.00127385
15209,0.00129814
15213,0.0013224
15218,0.00135267
15222,0.00137684
15227,0.00140702
15231,0.00143112
15236,0.00146119
15240,0.00148521
15245,0.00151518
15249,0.00153911
15254,0.00156897
15258,0.00159281
15263,0.00162256
15267,0.00164631
15272,0.00167594
15276,0.0016996
15281,0.00172911
15285,0.00175267
15290,0.00178206
15294,0.00180552
15299,0.00183478
15303,0.00185814
15308,0.00188726
15312,0.00191051
15317,0.00193951
15321,0.00196265
15326,0.0019915
15330,0.00201453
15335,0.00204325
15339,0.00206616
15343,0.00208902
15348,0.00211752
15352,0.00214026
15357,0.00216861
15361,0.00219123
15366,0.00221942
15370,0.00224192
15374,0.00226435
15379,0.00229232
15383,0.00231462
15387,0.00233687
15392,0.0023646
15396,0.00238671
15400,0.00240877
15404,0.00243076
15409,0.00245817
15413,0.00248002
15417,0.00250181
15422,0.00252896
15426,0.00255061
15430,0.0025722
15435,0.00259909
15439,0.00262052
15444,0.00264723
15448,0.00266852
15453,0.00269503
15457,0.00271617
15462,0.00274249
15466,0.00276347
15471,0.00278959
15475,0.00281042
15480,0.00283634
15484,0.00285701
15489,0.00288273
15493,0.00290323
15498,0.00292875
15502,0.00294908
15507,0.00297439
15511,0.00299456
15516,0.00301966
15520,0.00303965
15525,0.00306454
15530,0.0030893
15534,0.00310902
15539,0.00313356
15543,0.00315311
15548,0.00317743
15552,0.00319679
15557,0.00322089
15561,0.00324007
15566,0.00326393
15570,0.00328293
15574,0.00330184
15579,0.00332537
15583,0.0033441
15587,0.00336274
15591,0.0033813
15596,0.00340437
15600,0.00342274
15604,0.00344101
15608,0.0034592
15613,0.00348182
15617,0.00349981
15621,0.00351772
15625,0.00353553
15630,0.00355768
15634,0.00357529
15638,0.00359282
15642,0.00361025
15647,0.00363191
15651,0.00364914
15655,0.00366628
15660,0.00368757
15664,0.00370449
15668,0.00372132
15672,0.00373806
15677,0.00375885
15681,0.00377538
15685,0.00379181
15690,0.00381221
15694,0.00382843
15698,0.00384454
15703,0.00386455
15707,0.00388045
15711,0.00389625
15716,0.00391586
15720,0.00393144
15724,0.00394692
15729,0.00396613
15733,0.00398138
15737,0.00399654
15742,0.00401534
15746,0.00403026
15750,0.00404508
15755,0.00406347
15759,0.00407806
15763,0.00409255
15768,0.00411052
15772,0.00412478
15777,0.00414245
15781,0.00415648
15785,0.00417039
15790,0.00418764
15794,0.00420132
15799,0.00421827
15803,0.00423171
15808,0.00424836
15812,0.00426156
15817,0.00427791
15821,0.00429086
15826,0.00430691
15830,0.00431962
15835,0.00433535
15840,0.00435092
15844,0.00436325
15849,0.0043785
15853,0.00439058
15858,0.00440553
15862,0.00441736
15867,0.00443199
15871,0.00444357
15876,0.00445788
15881,0.00447202
15885,0.00448321
15890,0.00449703
15894,0.00450796
15899,0.00452146
15903,0.00453213
15908,0.00454531
15912,0.00455572
15917,0.00456858
15921,0.00457873
15926,0.00459126
15931,0.00460361
15935,0.00461336
15940,0.00462539
15944,0.00463487
15949,0.00464657
15954,0.00465808
15958,0.00466715
15963,0.00467833
15967,0.00468714
15972,0.00469799
15976,0.00470653
15980,0.00471495
15985,0.00472532
15989,0.00473347
15993,0.00474151
15998,0.00475138
16002,0.00475915
16006,0.0047668
16010,0.00477432
16015,0.00478356
16019,0.00479081
16023,0.00479795
16027,0.00480496
16032,0.00481355
16036,0.00482029
16040,0.00482691
16044,0.0048334
16049,0.00484135
16053,0.00484757
16058,0.00485517
16062,0.00486112
16066,0.00486694
16071,0.00487404
16075,0.00487958
16079,0.004885
16084,0.00489161
16088,0.00489675
16093,0.004903
16098,0.00490907
16102,0.00491378
16107,0.00491949
16111,0.00492392
16116,0.00492928
16120,0.00493343
16125,0.00493844
16130,0.00494326
16134,0.00494697
16139,0.00495144
16144,0.00495571
16148,0.00495898
16153,0.0049629
16157,0.00496589
16162,0.00496946
16167,0.00497283
16171,0.00497538
16176,0.0049784
16181,0.00498122
16185,0.00498333
16190,0.00498579
16194,0.00498762
16198,0.00498933
16203,0.00499128
16207,0.0049927
16211,0.004994
16215,0.00499516
16220,0.00499645
16224,0.00499733
16228,0.00499809
16233,0.00499886
16237,0.00499933
16241,0.00499968
16245,0.0049999
16250,0.005
16254,0.00499994
16258,0.00499975
16263,0.00499933
16267,0.00499886
16272,0.00499809
16276,0.00499733
16281,0.00499621
16285,0.00499516
16290,0.00499368
16294,0.00499236
16299,0.00499052
16303,0.00498891
16308,0.00498673
16313,0.00498434
16317,0.00498229
16322,0.00497955
